,code,name,name_eng,base_year
0,11250,강동구,Gangdong-gu,2013
1,11240,송파구,Songpa-gu,2013
2,11230,강남구,Gangnam-gu,2013
3,11220,서초구,Seocho-gu,2013
4,11210,관악구,Gwanak-gu,2013
5,11200,동작구,Dongjak-gu,2013
6,11190,영등포구,Yeongdeungpo-gu,2013
7,11180,금천구,Geumcheon-gu,2013
8,11170,구로구,Guro-gu,2013
9,11160,강서구,Gangseo-gu,2013
10,11150,양천구,Yangcheon-gu,2013
11,11140,마포구,Mapo-gu,2013
12,11130,서대문구,Seodaemun-gu,2013
13,11120,은평구,Eunpyeong-gu,2013
14,11110,노원구,Nowon-gu,2013
15,11100,도봉구,Dobong-gu,2013
16,11090,강북구,Gangbuk-gu,2013
17,11080,성북구,Seongbuk-gu,2013
18,11070,중랑구,Jungnang-gu,2013
19,11060,동대문구,Dongdaemun-gu,2013
20,11050,광진구,Gwangjin-gu,2013
21,11040,성동구,Seongdong-gu,2013
22,11030,용산구,Yongsan-gu,2013
23,11020,중구,Jung-gu,2013
24,11010,종로구,Jongno-gu,2013
